City_ID,City,Lat,Lng,Max Temp,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs),Humidity,Cloudiness,Wind Speed,Country,Date
0,Santiago De Chuco,-8.15,-78.18,49.73,broken clouds,0.0,0.0,36,76,1.21,PE,2020-04-24 03:08:36
1,Cape Town,-33.93,18.42,62.01,overcast clouds,0.0,0.0,87,99,4.7,ZA,2020-04-24 03:12:11
2,Galich,58.38,42.35,25.99,scattered clouds,0.0,0.0,90,44,6.02,RU,2020-04-24 03:12:21
3,Lorengau,-2.02,147.27,84.87,light rain,1.19,0.0,72,29,5.75,PG,2020-04-24 03:12:21
4,Hilo,19.73,-155.09,80.6,scattered clouds,0.0,0.0,57,40,9.17,US,2020-04-24 03:12:22
5,Sabinopolis,-18.67,-43.08,61.81,scattered clouds,0.0,0.0,77,26,1.48,BR,2020-04-24 03:12:22
6,Pudozh,61.81,36.53,26.31,broken clouds,0.0,0.0,95,54,3.71,RU,2020-04-24 03:12:23
7,Castro,-24.79,-50.01,53.15,clear sky,0.0,0.0,72,2,4.54,BR,2020-04-24 03:09:52
8,Sitka,57.05,-135.33,46.4,overcast clouds,0.0,0.0,75,90,9.17,US,2020-04-24 03:09:39
9,Gelemso,8.82,40.52,61.83,light rain,0.18,0.0,51,100,1.14,ET,2020-04-24 03:12:24
10,Rawlins,41.79,-107.24,42.01,light rain,0.0,0.0,65,75,9.17,US,2020-04-24 03:12:24
11,Bethel,41.37,-73.41,44.01,overcast clouds,0.0,0.0,48,90,3.36,US,2020-04-24 03:12:24
12,Leningradskiy,69.38,178.42,23.32,clear sky,0.0,0.0,93,0,4.5,RU,2020-04-24 03:12:25
13,Puerto Cabezas,14.04,-83.39,77.94,overcast clouds,0.0,0.0,86,90,6.42,NI,2020-04-24 03:12:25
14,Bluff,-46.6,168.33,60.01,overcast clouds,0.0,0.0,63,90,8.99,NZ,2020-04-24 03:12:25
15,Ponta Do Sol,32.67,-17.1,60.8,few clouds,0.0,0.0,63,20,9.17,PT,2020-04-24 03:12:25
16,Tuburan,6.64,122.27,84.2,scattered clouds,0.0,0.0,83,40,3.36,PH,2020-04-24 03:12:26
17,Jalu,29.03,21.55,63.09,clear sky,0.0,0.0,79,0,21.9,LY,2020-04-24 03:12:26
18,Ushuaia,-54.8,-68.3,39.2,scattered clouds,0.0,0.0,80,40,27.51,AR,2020-04-24 03:08:44
19,Otane,-39.88,176.63,66.0,clear sky,0.0,0.0,62,10,5.99,NZ,2020-04-24 03:12:26
20,Chuy,-33.7,-53.46,65.21,scattered clouds,0.0,0.0,91,36,11.7,UY,2020-04-24 03:12:27
21,Busselton,-33.65,115.33,69.01,light rain,0.23,0.0,52,26,12.44,AU,2020-04-24 03:12:27
22,Salinopolis,-0.61,-47.36,79.14,light rain,2.52,0.0,82,98,2.28,BR,2020-04-24 03:12:27
23,Vardo,70.37,31.11,26.6,shower rain,0.0,0.0,73,75,13.87,NO,2020-04-24 03:10:19
